City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Opelousas,US,83.88,clear sky,30.5335,-92.0815,"Holiday Inn Express & Suites Opelousas, an IHG Hotel"
589,Marsaxlokk,MT,86.61,few clouds,35.8419,14.5431,Water's Edge
590,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
591,Dwarka,IN,81.19,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
597,Road Town,VG,84.29,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
598,Vicksburg,US,80.33,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
599,Mandalay,MM,81.25,moderate rain,21.9747,96.0836,Hotel Yadanarbon
601,Sao Gabriel Da Cachoeira,BR,85.71,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
602,Mocuba,MZ,85.41,clear sky,-16.8392,36.9856,Phama Lodge
603,Safaga,EG,87.46,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
605,Nishihara,JP,82.45,overcast clouds,26.1842,127.7558,Minshuku Agaihama
608,Bukene,TZ,88.39,broken clouds,-4.2333,32.8833,New Millenium Lodge
610,Ler,SS,81.68,scattered clouds,8.3018,30.1418,Leer Humanitarian Hub
612,Auki,SB,76.91,broken clouds,-8.7676,160.7034,Auki Motel
614,Sao Jose Da Coroa Grande,BR,80.22,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
615,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
621,La Romana,DO,88.16,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
622,Turbat,PK,87.51,clear sky,26.0023,63.044,Mubashar Quarters
624,Kattivakkam,IN,87.89,broken clouds,13.2167,80.3167,Euronova Freezer
627,Pontalina,BR,88.45,broken clouds,-17.525,-49.4472,Hotel Entre Rios
628,La Orilla,MX,78.22,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
631,Hirara,JP,80.65,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
637,Pemangkat,ID,77.7,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
639,Bandarbeyla,SO,77.32,scattered clouds,9.4942,50.8122,JABIR HOTEL
640,Sur,OM,87.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
649,Puerto Carreno,CO,83.8,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
650,Bac Lieu,VN,79.86,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
659,Belize,BZ,81.36,overcast clouds,17.25,-88.75,Villa San Juan
662,Huixtla,MX,80.28,overcast clouds,15.15,-92.4667,Rocky Point Sonoran Sky
663,Aksu,CN,78.13,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
664,Ambilobe,MG,77.0,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
